Gene
TLR4
INTS1
MAK
SAMD12
TRIM25
ELP2
CST7
FOXO1
B4GALT6
RPUSD4
MORC2
VNN1
LATS2
SNHG10
PADI2
ZNF749
CRTAM
PKIA
GTPBP4
SSH2
CHI3L2
FAM161A
TBCD
CD7
TNS1
PRKACB
DCXR
LRP1
SBNO2
RASSF4
UBE2T
RGS13
FAM83G
LY9
AMIGO2
ST3GAL3
PTPRJ
CD8A
AFG3L2
FLYWCH1
ELL
PAQR8
NKG7
MAP9
KCNH8
TCIRG1
KDM1B
PRDM5
DZIP3
PDZK1IP1
ABCA13
USF1
NFXL1
S100A12
ZNF382
WDR18
ZBTB24
SETDB2
DGCR2
ATN1
PFAS
PAQR4
SLC6A6
PEBP1
GCNT4
COL6A3
MFSD10
TRAF5
PDE7A
B3GNT7
AHSP
CHML
ABCC3
CMKLR1
CEP70
C18orf54
TNFAIP6
NUP88
ZBP1
PAM
PDGFRB
PHLDB2
MTHFD1L
PEX6
OPRL1
PNPLA6
TNFRSF10B
GBP5
DOCK9
IRF8
SLC16A7
IRF5
GPR183
RPS28
IFITM3
KLHL14
CENPK
ZNF439
C3AR1
SH3YL1
CCDC144A
NRG1
GSDMD
SLC5A6
TMEM204
DGKE
SLC26A8
PIK3C2B
CHI3L1
ASPM
CCDC125
HRK
KIR2DL1
RPP40
HSF5
CLUAP1
XYLT2
TSPYL5
EI24
ARID1B
RSL1D1
DGKQ
CRY2
LDLR
MXD3
GRPEL2
GYPE
PYHIN1
CLEC4D
MEX3C
TREML4
PTPRM
MLH3
STK11
SYTL3
TMEM51
GPR132
RNF144A
ARMC9
MAFB
PPIH
SERPINB6
TRAP1
SBF1
MGAT4A
PAFAH1B3
FKBP7
SEH1L
ERCC8
PHF2
PVRIG
ACTR2
ZNF467
TRAT1
USP36
HSPE1
RUFY2
TGFA
PRKAR1B
JAK2
CLCN7
AMIGO1
ARHGEF19
HK3
FAR1
DGCR6L
CEACAM8
TGFBR3
LYRM4
ORMDL3
CR2
GPR15
RASGRP1
BCCIP
DIS3L2
ABHD2
PDCD6
FOLR3
RNF166
SLC16A10
ENTPD1
RNASE3
NR3C2
CD200
MSH2
KCNC4
ZNHIT2
STXBP2
DDX10
JAM3
IFIT1
RANBP1
MAP3K4
ZNF44
FLT3
SLC35F2
RPLP2
C11orf58
PALLD
SLCO4C1
DGKA
ZNF347
CLEC12A
MACROD1
IFT140
XAB2
LRRC4
EPM2A
RPS26
ITM2C
MFAP3L
TP53I11
CTSW
CD36
PAK1IP1
FAM53B
SRPK1
RHOB
TBC1D22B
SRGN
ZMYND11
MMP28
PAWR
AFF3
LYRM7
CTDSPL
ANTXR2
DNAJC13
AGMAT
CLC
NIPAL3
MEGF6
MIAT
SV2A
CSF1R
PHC2
AGPAT5
ABTB1
MPZL2
CAMTA1
B4GALT5
LILRA1
AHCTF1
ITPR1
CYP27A1
ETS1
PKIG
ZEB2
PARP10
CFLAR
TMEM106C
BZW2
ANKS3
TMEM220
ITK
TEP1
GRWD1
DVL1
LYZ
TLR6
CD3G
MAN1B1
PTPRC
PLXNB2
SLC2A6
LPAR6
ZNF551
TAF4
ANAPC1
GBP1
SPICE1
ST6GAL1
DCTPP1
KSR1
GP9
GALK1
PRKCA
OXCT1
GOLGA7B
CEBPA
ABCA2
MYOF
LSM5
SLC39A8
MICAL3
TC2N
SPON2
SERPINE2
NEO1
CUTA
BTNL3
RAB27B
TMIGD2
SRM
URB1
ANKDD1A
MAN1C1
TMEM176A
ATP6V0E2
TPRG1
SAMD4B
RBL1
JUNB
GNG11
ZNF165
URB2
GPA33
ZNF649
DKK3
ZNF14
PLXNC1
CFD
TRIM58
HBB
TEK
ST3GAL2
TSPAN2
NT5E
FAM200A
PDE9A
PTPDC1
HIVEP2
SMOX
CREB5
INSIG1
KLF12
CCNB1IP1
ZNF577
CCDC13
HSF2
TNIP3
MMP25
ZNF208
ZNF862
USP6NL
ZNF117
ZNF30
DNMBP
RNASEL
MYO3B
PFKFB2
GPC2
TANC2
MX1
AUTS2
PTGDS
GAS2L1
CD74
ZNF416
TNFRSF10A
TAS2R5
TSPAN3
MDM2
BIRC3
DENND3
PRMT7
B3GNT5
TCTN1
GRINA
ARL10
DDX47
STMN1
LCN2
RPL21
IFIT3
BNIP3
SLC38A10
ZNF121
GM2A
MCF2L
FBXW5
RAB35
SPI1
HLTF
PLIN5
NAMPT
ZNF17
COL18A1
TPPP3
ALOX5AP
FUT7
FCGR1A
SMYD5
SLC4A1
CCR9
TCEA3
TMEM150B
GPX1
HPCAL4
SPPL2B
ST6GALNAC1
RUNDC3A
CAPS2
SLC2A3
IPO11
CNOT6L
AGK
RASSF6
ANXA2
ARHGEF18
PLXDC2
KREMEN1
AKAP12
CELSR1
MCM6
SLC23A3
TSHZ2
IL1RL1
EFHD2
SIRPA
ZNF641
SESN3
ADAMTS1
HSD17B4
MBLAC2
SMG7
ABHD11
STX8
TRIB3
SGMS2
ZFYVE9
GSTM3
KLF7
TSC2
KIF27
SERINC2
PLEKHB1
ERICH1
ETV6
ESYT1
TMEM223
GAN
ZYX
UBIAD1
OAF
RNF182
CRISP3
TSC22D4
NSMCE1
CCDC14
GNA13
CPSF1
BHLHE40
IGFBP4
ITGA2B
NRIP1
SLAMF7
CA1
CCDC138
IFIT2
PLK4
GYPB
GNB2
DOCK4
GAS7
HLA-DQB1
GREB1
ASPH
ZNF664
CR1
HYAL3
ARHGAP29
IRAK2
RHOT2
SP1
C1QBP
ARID3A
FKBP8
FAM171A1
ZNHIT6
MTSS1
EPB42
GPSM2
TTC9
ARHGEF40
ZNF273
TTLL5
IFI44L
SPRED1
VCL
GZMA
MDGA1
MNAT1
LPCAT1
SRPRB
SLC25A15
PFKFB4
TAL1
ADK
LENG9
FCGR2A
LEPROTL1
GRN
AK5
FANCM
LGALS2
TTC39B
DPY19L2
HIP1
TCF7L2
ANKMY1
SPP1
NUP160
BIN1
ATP6V0A1
QKI
AGBL3
MFSD3
SERINC5
SLC19A1
MZT2B
RFFL
ZNF620
ST14
ANKRD29
TEX10
KRT1
LTV1
TRIM16
ZNF502
C1orf162
CLEC12B
TBXAS1
CAD
EMG1
MRPS26
NVL
PLA2G4C
NDUFS4
DBP
PLEC
PIK3IP1
PPP2CB
LPGAT1
KLRC1
AKAP13
FOS
AKIRIN2
PODXL2
RBM38
CYBA
SPATA6
SLC2A11
CD320
PTK6
IFI6
RBM11
ZNF572
ANKFY1
MTHFD1
FBLN2
KLHL3
THNSL1
LPAR5
BLMH
MVD
PGP
LTBR
MTA3
MS4A6A
ZNF736
TRIM10
ALG10
TDP1
PLEKHG3
TMEM97
ZNF239
SNORA71A
WDHD1
ARSA
SMPDL3A
CA4
SLC27A3
PER3
GTF3C5
PRRG4
ZBTB37
POLRMT
MTHFR
CARS2
ZNF713
PARP9
MRPL3
RRS1
LYL1
KLF4
TEX9
LLGL1
PAIP1
RBM17
P2RX1
GPX7
SDR42E1
ZBTB17
NUMA1
NOTCH1
PPM1K
PTDSS2
AATK
SPTB
GADD45GIP1
MDC1
BICD2
KLRC4
TOMM40
TRAF4
ACVR1B
HLA-DOB
FBXO5
ZCCHC3
S1PR4
NKX3-1
PIK3C3
HAGH
RPAP2
CCDC141
POLD1
CPM
BMS1
NOL11
FNDC3B
PAK2
ZNF682
COL4A3
PRH1
CEP76
SYTL1
JMY
THOC3
CCR8
ZNF287
SLC39A10
FPR2
PI3
SULF2
RPL36
SIT1
FLOT1
ERAP2
ASXL1
SLC4A4
PIGK
LMF2
MRPS31
ANXA1
ACSL1
TXNRD1
UBE2G2
RNF157
NOP58
SERPINB2
TADA1
APEX1
ZNF471
IQCG
LY6E
KLHDC4
RPS27
MRPL23
GLRX5
ADPRH
GK5
TTN
SLC25A40
NOL6
CDA
WSB1
PLBD1
WDR75
CACNA1I
CCDC50
HECW2
QRSL1
SH2D3C
CCDC85B
MTA2
DNAJC24
CTSB
USP45
RAB27A
SIGLEC1
HSD17B12
FASTK
DPP7
CDON
ATIC
MS4A7
DSP
CXXC5
KBTBD8
TNXB
ZMYND15
KIR2DS4
STAMBPL1
SNPH
ADARB1
TBL3
WDR12
TAGAP
DENND2D
BCAT1
ANK3
CLPP
MGAT5
KLF1
DOK2
FKBP4
BHLHE41
TMEM176B
NOD2
FBF1
RBM26
ZFP82
ZNF395
PNPLA7
ZNF639
SF1
BIN3
EML5
PIK3CG
PDCD1
OCIAD2
ZNF22
ZFP41
INPP5D
ZNF607
ANKRD46
LPCAT2
ST6GALNAC4
RABEP2
RALGPS2
DUS1L
PIGQ
ZCWPW2
GNPNAT1
HTR7
MSH6
NXT1
SH2D3A
GPR171
PGBD4
TYMP
GAS8
ARID5B
CD151
TNFSF10
ZNF302
NLRP6
PRAM1
ATG9B
LARS2
